Country,TOPSIS,SSP-TOPSIS std,SSP-TOPSIS $G_{1}$,SSP-TOPSIS $G_{2}$,SSP-TOPSIS $G_{3}$,SSP-TOPSIS $G_{4}$,SSP-TOPSIS $G_{5}$
Belgium,0.35660085419491777,0.37799961570058116,0.3728695479131878,0.35898707347759706,0.3579954156215389,0.35797675548665675,0.37799961570058116
Bulgaria,0.17244101114609825,0.20720327080326809,0.20406085446663413,0.17327858716409053,0.17478555293199705,0.1727763440762189,0.20720327080326809
Czechia,0.19219958234641674,0.22907850570627783,0.2217740688385765,0.19407676534382984,0.1973636672203491,0.19348307756231842,0.22907850570627783
Denmark,0.35199598551624356,0.3777896817358854,0.3691173970786833,0.35494857658700574,0.3557524824237302,0.353959267459476,0.3777896817358854
Germany,0.410805227105387,0.42289007072551393,0.41815729299585,0.41283770245520823,0.41253886435130677,0.4117411081300382,0.42289007072551393
Estonia,0.2797027631925889,0.3167248041632507,0.30982720224636195,0.28061268782826565,0.2846230955874863,0.2813741035557737,0.3167248041632507
Greece,0.34191167470135697,0.3600756257495645,0.35725094678967406,0.3420751107807365,0.34443921507082503,0.342103053125925,0.3600756257495645
Spain,0.3868538442037351,0.39969911567889155,0.39603005454300666,0.38841607650702936,0.38825387657727745,0.38752073596833375,0.39969911567889155
France,0.21339807450004317,0.2542522923308042,0.24627990124101,0.21611153106707684,0.21829809443168752,0.21480277229362457,0.2542522923308042
Croatia,0.1063405237992022,0.1259975686127434,0.11636441047271538,0.11065600250299738,0.11160251582558446,0.10751142008055857,0.1259975686127434
Ireland,0.20674635928865379,0.21504305955771352,0.213263910227311,0.2073824835730372,0.20728111622978462,0.20738281158127037,0.21504305955771352
Italy,0.31420147260423675,0.33846678762440713,0.3327372265479949,0.3164374883641966,0.31723475214565305,0.31482342762399257,0.33846678762440713
Cyprus,0.3492219494400631,0.36218980185557104,0.3586442672262372,0.349502462608171,0.35201097914135077,0.3497546481345073,0.36218980185557104
Latvia,0.13392481963951694,0.1431676799760011,0.13591380512837728,0.13539779938253763,0.13816347818838626,0.1356635924546503,0.1431676799760011
Lithuania,0.11589201178564662,0.13960993309836944,0.12954571463191586,0.11782325592177745,0.12206000089830404,0.11922997374210667,0.13960993309836944
Luxembourg,0.32836844320205283,0.3531314952901616,0.3509590696806895,0.3295257979581425,0.329044892974022,0.3286449042468175,0.3531314952901616
Hungary,0.273265405826889,0.29632925482566597,0.29409029880712106,0.27395898256803886,0.2743972615916668,0.27373382943351515,0.29632925482566597
Malta,0.32205501379337825,0.33439824953702574,0.3326500577500208,0.3221555908097798,0.323643214833689,0.32215733339246083,0.33439824953702574
Netherlands,0.41775226596599263,0.42586524055463437,0.42248711438325004,0.41905474144050914,0.4190184964996742,0.4184921977670051,0.42586524055463437
Austria,0.4028705746258459,0.43414314762767464,0.4267034710261995,0.40433311464873534,0.4065808785055156,0.4050919729496621,0.43414314762767464
Poland,0.11137491905795606,0.13496209094413886,0.1296712871469729,0.11260293445509631,0.11538535285648628,0.11226624887003084,0.13496209094413886
Portugal,0.24593431060337745,0.28346364252376033,0.27666672814617776,0.247674342549643,0.25066369945154837,0.24690611144444552,0.28346364252376033
Romania,0.10014053405557927,0.12154034231596994,0.11519290114408547,0.10368426570168449,0.10344847451917952,0.10066136978355383,0.12154034231596994
Slovenia,0.19264059233488318,0.23028321063501392,0.22044968415886962,0.19680817801877715,0.1975518307833751,0.1948322441869138,0.23028321063501392
Slovakia,0.1171037118294275,0.14131111248203385,0.13500273762511325,0.11929596740256444,0.12119959961360584,0.11808312365253569,0.14131111248203385
Finland,0.37940441974755934,0.39210320164974455,0.386321637253836,0.382021192151698,0.38092408000383166,0.38107792012055974,0.39210320164974455
Sweden,0.4665257660847989,0.48087863377452983,0.47753025258627496,0.4673772123445757,0.46763959186754,0.46786267657247466,0.48087863377452983
Iceland,0.34927120021622315,0.352369150309785,0.3494612915841043,0.3503289343413703,0.3501669048813889,0.3502243266458817,0.352369150309785
Norway,0.37343237824407566,0.3832124277081762,0.37760772996578695,0.37547038631886287,0.3754298249558622,0.3750503998303964,0.3832124277081762
