Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Belgium,8,8,8,8,7,7,6,7,7,7,6
Bulgaria,23,23,23,23,22,22,22,22,22,21,19
Czechia,22,21,21,20,20,20,20,20,20,19,18
Denmark,9,9,9,9,9,8,7,6,5,6,4
Germany,3,3,4,4,4,4,4,4,4,5,7
Estonia,16,16,16,16,16,16,14,12,10,9,5
Greece,12,12,11,11,10,11,11,10,11,11,12
Spain,5,5,5,5,5,5,5,5,8,8,10
France,19,19,19,19,19,19,19,19,18,16,14
Croatia,28,28,28,28,28,29,29,28,28,27,27
Ireland,20,20,20,22,23,23,23,23,23,23,25
Italy,15,15,15,14,14,13,13,14,13,13,13
Cyprus,11,10,10,10,11,12,12,13,14,15,16
Latvia,24,24,24,24,26,27,27,29,29,29,28
Lithuania,26,26,26,27,27,26,26,26,26,26,26
Luxembourg,13,13,13,12,12,10,9,8,6,3,3
Hungary,17,17,17,17,17,17,18,18,17,17,17
Malta,14,14,14,15,15,15,16,16,16,18,21
Netherlands,2,2,2,3,3,3,3,3,3,4,8
Austria,4,4,3,2,2,2,2,2,2,1,1
Poland,27,27,27,26,25,25,25,25,25,25,24
Portugal,18,18,18,18,18,18,17,15,15,12,9
Romania,29,29,29,29,29,28,28,27,27,28,29
Slovenia,21,22,22,21,21,21,21,21,21,22,20
Slovakia,25,25,25,25,24,24,24,24,24,24,23
Finland,6,6,6,6,6,6,8,9,9,10,11
Sweden,1,1,1,1,1,1,1,1,1,2,2
Iceland,10,11,12,13,13,14,15,17,19,20,22
Norway,7,7,7,7,8,9,10,11,12,14,15
